superficie;price;adresse;image_link
150;20000000;Rufisque, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-150m-rufisque-5409819
1200;120000000;Mbour, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-1200-m-ngaparou-5410180
50000;40000;Mariste, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-5ha-diamnadio-5410399
200;18000000;Diamniadio, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-200-m-diamniadio-5410909
150;3000000;Keur Massar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-150-m-lac-rose-5411822
1800;900000;Ngor, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-1800u-ngor-5369235
150;45000000;Parcelle Assainies, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-150m-parcelle-assainies-5412980
300;7000000;Thies, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-300m-thies-5413043
10000;60000000;Thies, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-agricole-1-ha-thiokhol-5413139
325;25000000;Saly, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-325-m-saly-5413381
150;Prixsurdemande;Mbao, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-150-m-mbao-5413540
150;130000000;Damel, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-150-m-damel-5413729
225;3500000;Ndiass, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-225-m-diass-5413757
300;12500000;Saly, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-300-m-saly-velingara-residentiel-5413763
150;6000000;Rufisque, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5413956
300;4500000;Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-senegal-5414313
150;6500000;Rufisque, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5414486
262;280000000;Mermoz-Sacré Coeur, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-262m-sotrac-mermoz-5367583
5000;1500000;Almadies, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-pied-dans-leau-aux-almadies-5398697
201;85000000;Almadies, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-201-m-a-almadies-reclassement-5389908
150;12500000;Keur Massar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrains-tivaouane-peulh-5415115
900;1200000;Yoff, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-pied-dans-leau-yoff-virage-5399023
7300;Prixsurdemande;Hann Bel-Air, Dakar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-7300m-industrielle-bel-air-5390202
150;40000000;Keur Massar, Sénégal;https://sn.coinafrique.com/annonce/terrains/terrain-150-m-cite-kalia-5415694
