web-scraper-order,web-scraper-start-url,containers_links3,containers_links3-href,Nbre_pieces,nbre_salle_bain,superficie,adresse
"1752361913-1","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5398421","4","3","","Mamelles, Dakar, Sénégal"
"1752361917-2","https://sn.coinafrique.com/categorie/appartements","Location appartement  haut standing  Zac mbao Almadie 2","https://sn.coinafrique.com/annonce/appartements/location-appartement-haut-standing-zac-mbao-almadie-2-5389623","4","3","150 m2","Mbao, Dakar, Sénégal"
"1752361922-3","https://sn.coinafrique.com/categorie/appartements","Location studio studio à Zac mbao","https://sn.coinafrique.com/annonce/appartements/location-studio-studio-a-zac-mbao-5389616","2","1","","Mbao, Dakar, Sénégal"
"1752361928-4","https://sn.coinafrique.com/categorie/appartements","Location appartement F4  à Mermoz batrain","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-mermoz-batrain-5414579","4","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752361931-5","https://sn.coinafrique.com/categorie/appartements","Vente studio 2 pièces - Virage","https://sn.coinafrique.com/annonce/appartements/vente-studio-2-pieces-virage-5389621","2","2","90","Yoff, Dakar, Sénégal"
"1752361936-6","https://sn.coinafrique.com/categorie/appartements","Location appartements - Sacré-coeur","https://sn.coinafrique.com/annonce/appartements/location-appartements-sacre-coeur-5394729","","","","Sacré-Coeur, Dakar, Sénégal"
"1752361940-7","https://sn.coinafrique.com/categorie/appartements","Location appartement 4 pièces - Fass","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-fass-5419932","120 m2","","","Fass, Dakar, Sénégal"
"1752361944-8","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Yoff Onomo","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-yoff-onomo-5385197","4","3","135","Yoff, Dakar, Sénégal"
"1752361948-9","https://sn.coinafrique.com/categorie/appartements","Location appartement 3 pièces - cit...","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cite-djily-mbaye-5416579","3","","","Diamalaye 1, Dakar, Sénégal"
"1752361952-10","https://sn.coinafrique.com/categorie/appartements","Location appartements 2 pièces - Cité Biagui","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-cite-biagui-5385211","2","2","130","Yoff, Dakar, Sénégal"
"1752361956-11","https://sn.coinafrique.com/categorie/appartements","Vente appartement F3  aux Almadies","https://sn.coinafrique.com/annonce/appartements/vente-appartement-f3-aux-almadies-5414702","3","2","","Almadies, Dakar, Sénégal"
"1752361959-12","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Sicap liberté 6 extension","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-sicap-liberte-6-extension-5402380","4","2","150","Sicap Liberté, Dakar, Sénégal"
"1752361962-13","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Yoff océan","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-yoff-ocean-5372553","4","4","120","Yoff, Dakar, Sénégal"
"1752361966-14","https://sn.coinafrique.com/categorie/appartements","Location appartement 4 pièces - Mer...","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-5416610","4","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752361968-15","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - cité Biagui","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cite-biagui-5381915","3","2","132","Yoff, Dakar, Sénégal"
"1752361972-16","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces à Virage","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-a-virage-5381904","3","3","132","Yoff, Dakar, Sénégal"
