web-scraper-order,web-scraper-start-url,container_data2,container_data2-href,superficie,price,adresse,image_link,image_link-href
"1752360592-1","https://sn.coinafrique.com/categorie/terrains","Terrain 150m²  - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrain-150m-rufisque-5409819","150","20 000 000 CFA","Rufisque, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               1 
               heure","https://sn.coinafrique.com/annonce/terrains/terrains-6lots-150m-diamniadio-en-face-terminus-ter-5415574"
"1752360597-2","https://sn.coinafrique.com/categorie/terrains","Terrain 1200  m² - Ngaparou","https://sn.coinafrique.com/annonce/terrains/terrain-1200-m-ngaparou-5410180","1200","120 000 000 CFA","Mbour, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               6 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-1200-m-ngaparou-5410180"
"1752360602-3","https://sn.coinafrique.com/categorie/terrains","Terrain 5ha - Diamnadio","https://sn.coinafrique.com/annonce/terrains/terrain-5ha-diamnadio-5410399","50000 m2","40 000 CFA","Mariste, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               5 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-5ha-diamnadio-5410399"
"1752360609-4","https://sn.coinafrique.com/categorie/terrains","Terrains 200 m² - Diamniadio","https://sn.coinafrique.com/annonce/terrains/terrains-200-m-diamniadio-5410909","200","18 000 000 CFA","Diamniadio, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               5 
               jours","https://sn.coinafrique.com/annonce/terrains/terrains-200-m-diamniadio-5410909"
"1752360619-5","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Lac Rose","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-lac-rose-5411822","150 m2","3 000 000 CFA","Keur Massar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               5 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-lac-rose-5411822"
"1752360626-6","https://sn.coinafrique.com/categorie/terrains","Terrains 1800ù²  - Ngor","https://sn.coinafrique.com/annonce/terrains/terrains-1800u-ngor-5369235","1800","900 000 CFA","Ngor, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               4 
               jours","https://sn.coinafrique.com/annonce/terrains/terrains-1800u-ngor-5369235"
"1752360632-7","https://sn.coinafrique.com/categorie/terrains","Terrain 150m²  - Parcelle assainies","https://sn.coinafrique.com/annonce/terrains/terrain-150m-parcelle-assainies-5412980","150","45 000 000 CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               4 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150m-parcelle-assainies-5412980"
"1752360640-8","https://sn.coinafrique.com/categorie/terrains","Terrain 300m²  - Thies","https://sn.coinafrique.com/annonce/terrains/terrain-300m-thies-5413043","300","7 000 000 CFA","Thies, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               4 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-300m-thies-5413043"
"1752360646-9","https://sn.coinafrique.com/categorie/terrains","Terrain agricole 1 ha - Thiokhol","https://sn.coinafrique.com/annonce/terrains/terrain-agricole-1-ha-thiokhol-5413139","10000","60 000 000 CFA","Thies, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               4 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-agricole-1-ha-thiokhol-5413139"
"1752360653-10","https://sn.coinafrique.com/categorie/terrains","Terrain 325 m² - Saly","https://sn.coinafrique.com/annonce/terrains/terrain-325-m-saly-5413381","325","25 000 000 CFA","Saly, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               4 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-325-m-saly-5413381"
"1752360657-11","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Mbao","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-mbao-5413540","150","Prix sur demande","Mbao, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               4 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-mbao-5413540"
"1752360660-12","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Damel","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-damel-5413729","150","130 000 000 CFA","Damel, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               4 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-damel-5413729"
"1752360676-13","https://sn.coinafrique.com/categorie/terrains","Terrain 225 m² - Diass","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-diass-5413757","225 m2","3 500 000 CFA","Ndiass, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               3 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-diass-5413757"
"1752360684-14","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Saly Vélingara Résidentiel","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-saly-velingara-residentiel-5413763","300 m2","12 500 000 CFA","Saly, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               3 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-saly-velingara-residentiel-5413763"
"1752360692-15","https://sn.coinafrique.com/categorie/terrains","Terrain 150m² - Sénégal","https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5413956","150 m2","6 000 000 CFA","Rufisque, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               3 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5414486"
"1752360697-16","https://sn.coinafrique.com/categorie/terrains","Terrains  - Sénégal","https://sn.coinafrique.com/annonce/terrains/terrains-senegal-5414313","300 m2","4 500 000 CFA","Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               3 
               jours","https://sn.coinafrique.com/annonce/terrains/terrains-senegal-5414313"
"1752360700-17","https://sn.coinafrique.com/categorie/terrains","Terrain 150m² -   Sénégal","https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5414486","150 m2","6 500 000 CFA","Rufisque, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               3 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5414486"
"1752360704-18","https://sn.coinafrique.com/categorie/terrains","Terrains 262m² -Sotrac- Mermoz","https://sn.coinafrique.com/annonce/terrains/terrains-262m-sotrac-mermoz-5367583","262","280 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               10 
               heures","https://sn.coinafrique.com/annonce/terrains/terrain-262m-a-mermoz-sotrac-5391435"
"1752360712-19","https://sn.coinafrique.com/categorie/terrains","Terrain pied dans l'eau aux Almadies","https://sn.coinafrique.com/annonce/terrains/terrain-pied-dans-leau-aux-almadies-5398697","5000 m2","1 500 000 CFA","Almadies, Dakar, Sénégal","",""
"1752360717-20","https://sn.coinafrique.com/categorie/terrains","Terrain 201 m² à Almadies Reclassement","https://sn.coinafrique.com/annonce/terrains/terrain-201-m-a-almadies-reclassement-5389908","201 m2","85 000 000 CFA","Almadies, Dakar, Sénégal","",""
"1752360723-21","https://sn.coinafrique.com/categorie/terrains","Terrains - Tivaouane peulh","https://sn.coinafrique.com/annonce/terrains/terrains-tivaouane-peulh-5415115","150","12 500 000 CFA","Keur Massar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               3 
               jours","https://sn.coinafrique.com/annonce/terrains/terrains-tivaouane-peulh-5415115"
